name,code,code_comment,fabric_type,suppliers,comment
Капучино,312-4,"супер стар раскладка , сейчас такого цвета нет",Бархат Бета,ВсетканиТут,
Минд латте,312-94,,Бархат Бета,Реутовская мануфактура,
Латте,А5018-4,для салфетоквозможно взяла 312-94,Бархат Бета,ВсетканиТут,
Пастельно-сиреневый бета,9102-А25,на салфетки брала 312-42,Бархат Бета,ВсетканиТут,
Серый,312-9,на салфетки брала 312-49,Бархат Бета,ВсетканиТут,
Спелая дыня,999-101,,Бархат Бета,Алишер; Реутовская мануфактура,
Кокосовый раф,312-95,,Бархат Бета,Реутовская мануфактура; Шер,
Рыжая лиса,312-99,,Бархат Бета,Реутовская мануфактура; Шер,
Сиреневая дымка,312-96,,Бархат Бета,Реутовская мануфактура; Шер,
Фиалковый,312-57,,Бархат Бета,Реутовская мануфактура; Шер,
Клубничный (алый с вишенкой),999-100,,Бархат Бета,Садовод Абдулазиз,
Бледно-розовый,312-106,,Бархат Бета,Реутовская мануфактура; Шер,
Зеленый малахит,999-46,,Бархат Бета,Алишер; Реутовская мануфактура,
Светло-зелёный,312-40,,Бархат Бета,ВсетканиТут,
Зеленый чай,312-89,,Бархат Бета,Реутовская мануфактура; Садовод Рамазан; Шер,
Красный дракон (алый),312-73,,Бархат Бета,Реутовская мануфактура; Шер,
Черный салфетки,312-92,,Бархат Бета,Садовод Саид,
Черный скат пуфы вашинг,almas 5018-37,,Бархат Бета,Алмас Дима; Реутовская мануфактура,
Жемчужный,312-8,,Бархат Бета,Реутовская мануфактура; Шер,
Синий ван Гога,Almas 5018-33,,Бархат Бета,Алмас Дима; Реутовская мануфактура,
Гранатовый  (вашингтон и пуфы миди макси квадро),312-125,,Бархат Бета,Реутовская мануфактура; Шер,
Голубой сапфир,"Debute MJ802-75/300PB , но берём и 312-111",,Бархат Бета,Дом текстиля,
Янтарный бета,312-58,,Бархат Бета,Реутовская мануфактура; Шер,
Белый ландыш,Almas 5018-38,,Бархат Бета,Алмас Дима; Реутовская мануфактура,
Золотая горчица,999-086,,Бархат Бета,Алишер; Реутовская мануфактура,
Фиолетовый люпин,312-81,,Бархат Бета,Шер,
Фруктовый зефир,312-52,,Бархат Бета,Реутовская мануфактура; Шер,
Розовая сакура,312-55,,Бархат Бета,Реутовская мануфактура; Шер,
Шалфей серебристый,312-69,,Бархат Бета,Реутовская мануфактура; Шер,
Дымчатый,Toscana HLR 310-80/300P,,Бархат Бета,Дом текстиля,
Гранатовый скатерти (салфетки и мини фуфы),312-61,,Бархат Бета,Реутовская мануфактура; Шер,
Черный пуф миди макси,999-023,,Бархат Бета,Садовод Абдулазиз,
Осяное молоко лен,алмас 03,,Лен,Алмас Дима; Реутовская мануфактура,
Серый оникс,HH GD 3872- 227,,Шелк,Дом текстиля,
Мента гамма,Interio SL1004-V09/300P,,Канвас Гамма,Дом текстиля,
Темная ночь,999-98,,Бархат Бета,Садовод Абдулазиз,
Белый гамма,Interio.  Byd Ada fonluk-V01/300P,,Канвас Гамма,Дом текстиля,
Пудровый гамма,Lizya AR01403 V-97,,Канвас Гамма,ВсетканиТут,
Черный шелк,А-32,,Шелк,Садовод Мухаммад,
Хвойный лес,инфлюк 22,,Канвас Гамма,Дом текстиля,
Голубое облако гамма,Lizya AR01403 V514,,Канвас Гамма,Садовод Саид,
Светло-серый,ht kanvas 794|300,,Канвас Гамма,Дом текстиля,
Эвкалиптовый гамма,Lizya AR01403  248.,,Канвас Гамма,ВсетканиТут,
Лунно-розовый,HH GD 3872- 250,,Шелк,Дом текстиля,
Шампань,HH GD3872-202,,Шелк,Дом текстиля,
Пудровый шелк,А-22,,Шелк,Садовод Мухаммад,
Кремовый,501-01,,Шелк,Алмас Дима,
Черный гамма,Interio FB ANTIK-BLK/300P,,Канвас Гамма,Дом текстиля,
Ванильный гамма,Interio SL1004-V03/300P,,Канвас Гамма,Дом текстиля,
Охровый альфа,418,,Габардин Альфа,Бархатный лепесток,
Дымчатый гамма,,,Канвас Гамма,Садовод Саид,
Молочный альфа,неизвестно,,Габардин Альфа,Сельхоз,
Фисташковый,инфлюк 24,,Канвас Гамма,Дом текстиля,
Айвори шелк,А-28,,Шелк,Садовод Абдулазиз; Садовод Мухаммад,
Оливковый  альфа,624,,Габардин Альфа,Бархатный лепесток,
Белая глазурь,странный толстый,,Шелк,Садовод Абдулазиз,Фиговый сатин
Пломбир альфа,001,,Габардин Альфа,Бархатный лепесток,
Розовый кварц лен,HL-202,"270 г/м, 2069 лен",Лен,Бархатный лепесток,
Пшеничный,v96,,Канвас Гамма,Колибри,
Темно-синий гамма,206,,Канвас Гамма,ВсетканиТут,
Тихий океан,312-38,,Бархат Бета,Шер,
Фуксия,213,,Габардин Альфа,Бархатный лепесток,
Инжирный,307,,Габардин Альфа,Бархатный лепесток,
Кофейный,906,,Габардин Альфа,Бархатный лепесток,
Граффитовый,812,,Габардин Альфа,Бархатный лепесток,
Зеленый,613,,Габардин Альфа,Бархатный лепесток,
Изумрудный,,,Габардин Альфа,Сельхоз,
Блеск аметиста,HX 62108006-05,,Шелк,Дом текстиля,
Льняной холст,Jas Thomas-C3,,Лен,Дом текстиля,
Тиффани дешевый,№10,,Шелк,Сельхоз,
снежный,000,,Габардин Альфа,Бархатный лепесток,
Аквамарин,777-103,,Бархат Бета,Садовод Саид,
Морозная мята,almas 5018-28,,Бархат Бета,Алмас Дима; Реутовская мануфактура,
Малиновый,Decoreto 21,,Бархат Бета,Садовод Рамазан,
Мех букле белый,,,Разное,Стартекс,
Парча Юми серебро,,,Разное,,
Парча Юми золото,,,Разное,,
Каппа Диор зеленый,,,Разное,Айсулы,
Мелисса,без черной нитки,,Шелк,Гуля; Садовод,
Зеленая пастель,Hurrem(18156) цвет 382,,Шелк,Ахмед; Садовод,
Шоколадный,312-28,,Бархат Бета,Реутовская мануфактура,
Сливочный (масло),софия 94,,Канвас Гамма,софия реутов мануфактура,
Зеленый малахит,312-101,,Бархат Бета,Шер,
Лимонадный,403,,Габардин Альфа,,
Серый бархат стулья,312-105,,Бархат Бета,Реутовская мануфактура; Шер,
