id,color,fabric_type,location,length_m,width_m,needs_remeasure,original_note
P-001,Гранатовый 312-125,Бархат,Склад,5.0,1.26,true,"Лист1: «0,7 рулона и кусок 5 на 1,26» (30 авг)"
P-002,Розовая сакура,Бархат,Склад,7.0,1.23,true,"Лист1: «0,3 и кусок 7 на 1,23» (30 авг)"
P-003,Спелая дыня,Бархат,Склад,6.5,1.28,true,"Лист1: «0,8 и кусок 6,5 на 1,28 и 3 на 1,75» (30 авг)"
P-004,Спелая дыня,Бархат,Склад,3.0,1.75,true,"Лист1: «0,8 и кусок 6,5 на 1,28 и 3 на 1,75» (30 авг)"
P-005,Бледно-розовый (312-106),Бархат,я,1.3,1.1,true,"Журнал: «1,3*1,1» (11 апр)"
P-006,Гранатовый 312-125,Бархат,я,3.0,1.8,true,"Журнал: «кусок 3м*43 см; кусок 1,8*3 и кусок 1,3*2; кусок от скатерти 2*1» (11 апр)"
P-007,Гранатовый 312-125,Бархат,я,2.0,1.3,true,"Журнал: «кусок 3м*43 см; кусок 1,8*3 и кусок 1,3*2; кусок от скатерти 2*1» (11 апр)"
P-008,Гранатовый 312-125,Бархат,я,2.0,1.0,true,"Журнал: «кусок 3м*43 см; кусок 1,8*3 и кусок 1,3*2; кусок от скатерти 2*1» (11 апр)"
P-009,Жемчужный (312-8),Бархат,Людмила,6.0,3.0,true,"Журнал: «кусок 6*3, 9*3м и 1*3 м» (19.03)"
P-010,Жемчужный (312-8),Бархат,Людмила,9.0,3.0,true,"Журнал: «кусок 6*3, 9*3м и 1*3 м» (19.03)"
P-011,Жемчужный (312-8),Бархат,Людмила,3.0,1.0,true,"Журнал: «кусок 6*3, 9*3м и 1*3 м» (19.03)"
P-012,Жемчужный (312-8),Бархат,я,6.0,3.0,true,Журнал: «кусок 6*3м» (26 мая)
P-013,Золотая горчица,Бархат,Склад,5.0,3.0,true,Журнал: «3*5м» (11 апр)
P-014,Ландыш (другой оттенок) алмас,Бархат,Склад,3.0,2.5,true,"Журнал: «кусок 2,5*3» (11.04.26)"
P-015,Малиновый,Бархат,Склад,1.5,1.0,true,"Журнал: «1,5*1» (11 апр)"
P-016,Розовая сакура 312-55,Бархат,Людмила,1.2,1.0,true,"Журнал: «куски 1*1,2 м и 1*0,5 м» (30 мая)"
P-017,Розовая сакура 312-55,Бархат,Людмила,1.0,0.5,true,"Журнал: «куски 1*1,2 м и 1*0,5 м» (30 мая)"
P-018,Розовая сакура 312-55,Бархат,Склад,9.0,3.0,true,"Журнал: «куски 9*3м; 6,5*3м» (11 апр)"
P-019,Розовая сакура 312-55,Бархат,Склад,6.5,3.0,true,"Журнал: «куски 9*3м; 6,5*3м» (11 апр)"
P-020,Рыжая лиса 312-99,Бархат,Людмила,2.0,1.5,true,"Журнал: «кусок 2*1,5 примерно» (23 апр)"
P-021,Рыжая лиса 312-99,Бархат,Склад,3.0,3.0,true,Журнал: «кусок 3*3» (11 апр)
P-022,Светло-зелёный 312-40,Бархат,Склад,6.0,3.0,true,"Журнал: «6*3м, 8,5*3м» (03 июн)"
P-023,Светло-зелёный 312-40,Бархат,Склад,8.5,3.0,true,"Журнал: «6*3м, 8,5*3м» (03 июн)"
P-024,Сиреневая дымка,Бархат,Склад,10.5,3.0,true,"Журнал: «кусок 10,5*3м» (21 мая)"
P-025,Серо-голубой (не наш оттенок),Бархат,Склад,3.5,3.0,true,"Журнал: «кусок 3,5*3м» (21 мая)"
P-026,Пепельно-серый,Бархат,Склад,6.0,2.5,true,"Журнал: «6*2,5» (11 апр)"
P-027,Синий Ван Гога,Бархат,Склад,2.0,1.3,true,"Журнал: «куски 1,3*2; 1,4*3; 1,7*2; 1*3; 2*1,3» (11 апр)"
P-028,Синий Ван Гога,Бархат,Склад,3.0,1.4,true,"Журнал: «куски 1,3*2; 1,4*3; 1,7*2; 1*3; 2*1,3» (11 апр)"
P-029,Синий Ван Гога,Бархат,Склад,2.0,1.7,true,"Журнал: «куски 1,3*2; 1,4*3; 1,7*2; 1*3; 2*1,3» (11 апр)"
P-030,Синий Ван Гога,Бархат,Склад,3.0,1.0,true,"Журнал: «куски 1,3*2; 1,4*3; 1,7*2; 1*3; 2*1,3» (11 апр)"
P-031,Синий Ван Гога,Бархат,Склад,2.0,1.3,true,"Журнал: «куски 1,3*2; 1,4*3; 1,7*2; 1*3; 2*1,3» (11 апр)"
P-032,Синий 312-12,Бархат,Склад,7.0,3.0,true,Журнал: «7*3» (06 июн)
P-033,Сиреневая дымка 312-96,Бархат,Склад,1.5,1.0,true,"Журнал: «кусочек на верхушки боу 2шт 1,5*1; кусок 2*3м» (11 апр)"
P-034,Сиреневая дымка 312-96,Бархат,Склад,3.0,2.0,true,"Журнал: «кусочек на верхушки боу 2шт 1,5*1; кусок 2*3м» (11 апр)"
P-035,Фиалковый,Бархат,Людмила,8.5,1.3,true,"Журнал: «кусок 1,3*8,5» (30 мая)"
P-036,Черный 999,Бархат,Склад,3.0,2.8,true,"Журнал: «кусок 3,5м, кусок 3*2,8» (11 апр)"
P-037,Черный алмаз (темнее 999),Бархат,Кристина,13.2,3.0,true,"Журнал: «кусок 3*13,2м; кусок 3*4,8» (15 апр)"
P-038,Черный алмаз (темнее 999),Бархат,Кристина,4.8,3.0,true,"Журнал: «кусок 3*13,2м; кусок 3*4,8» (15 апр)"
P-039,Шоколадный 312-28,Бархат,Склад,1.4,0.7,true,"Журнал: «кусок 1,4*0,7м» (05 июн)"
P-040,Голубое облако,Канвас,Склад,2.5,1.5,true,"Журнал: «кусок 2,5*1,5» (11.04.26)"
P-041,Эвкалипт,Канвас,Склад,3.0,2.0,true,Журнал: «кусок 2*3» (11.04.26)
P-042,Канвас ночной сад,Канвас,Склад,1.4,1.4,true,"Журнал: «кусок 1,4*1,4» (11.04.26)"
P-043,Канвас лошадки,Канвас,Склад,1.8,1.5,true,"Журнал: «кусок 1,5*1,8» (11.04.26)"
P-044,Лен овсяное молоко,Лен,Склад,4.0,1.7,true,"Журнал: «кусок 4*1,7» (11 апр)"
P-045,Габардин графит,Габардин,Склад,9.0,1.5,true,"Журнал: «кусок 9*1,5» (11.04.26)"
P-046,Шелк коричневый,Шелк,Склад,2.8,2.0,true,"Журнал: «кусок 2*2,8» (25.04.26)"
P-047,Ткань с принтом для Марселя,Разное,Склад,2.6,1.6,true,"Журнал: «2,6*1,6» (11.04)"
P-048,Юми серебро,Парча,Склад,14.5,1.5,true,"Журнал: «1,5*14,5м» (11.04.26)"
P-049,Мулетон,Разное,Склад,8.0,1.0,true,"Журнал: «куски 8*1; 2,1*1; 0,3*0,3; 0,5*0,5» (11.04.26)"
P-050,Мулетон,Разное,Склад,2.1,1.0,true,"Журнал: «куски 8*1; 2,1*1; 0,3*0,3; 0,5*0,5» (11.04.26)"
P-051,Мулетон,Разное,Склад,0.3,0.3,true,"Журнал: «куски 8*1; 2,1*1; 0,3*0,3; 0,5*0,5» (11.04.26)"
P-052,Мулетон,Разное,Склад,0.5,0.5,true,"Журнал: «куски 8*1; 2,1*1; 0,3*0,3; 0,5*0,5» (11.04.26)"
P-053,Рыжая лиса,Бархат,Склад,,,true,Лист1: «кусок метров 4» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-054,Сиреневая дымка,Бархат,Склад,,,true,Лист1: «кусочек на верхушки боу 2 шт» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-055,Голубой сапфир 312-111,Бархат,Кристина,,,true,Журнал: «куски на салфетки штук 50» (25 мая) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-056,Гранатовый 312-125,Бархат,Кристина,,,true,Журнал: «кусок 2-3 м и кусок 4-5 м» (20 мая) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-057,Жемчужный (312-8),Бархат,Елена,,,true,Журнал: «кусочек непонятный» (07.12) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-058,Жемчужный (312-8),Бархат,Кристина,,,true,"Журнал: «куски 3,8м и 7м» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ"
P-059,Зеленый малахит (999-46),Бархат,Елена,,,true,Журнал: «кусок 3 м» (07.12) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-060,Зеленый чай 312-89,Бархат,Кристина,,,true,Журнал: «4 м и куски на салфетки штук 40-50» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-061,Кокосовый Раф 312-95,Бархат,Склад,,,true,Журнал: «кусок 7м» (11 апр) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-062,Красный дракон 312-73,Бархат,Елена,,,true,Журнал: «кусок 5 м» (07.12) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-063,Малиновый,Бархат,Кристина,,,true,Журнал: «кусочек на пару чехлов» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-064,Светло-зелёный 312-40,Бархат,Кристина,,,true,Журнал: «кусок 3 м» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-065,Синий Ван Гога,Бархат,Кристина,,,true,Журнал: «кусок метра 3 и кусочки на 6 салфеток» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-066,Сиреневая дымка 312-96,Бархат,Елена,,,true,Журнал: «кусочек микро» (06.03) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-067,Сиреневая дымка 312-96,Бархат,Кристина,,,true,Журнал: «куски на салфетки штук 30-40» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-068,Спелая дыня,Бархат,Елена,,,true,Журнал: «микрокусок на 1-2 боу» (11.12) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-069,Фруктовый зефир,Бархат,Кристина,,,true,Журнал: «кусочки на 15 салфеток» (19 апр) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-070,Фиалковый,Бархат,Кристина,,,true,Журнал: «куски на салфетки штук 30-50» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-071,Фиолетовый люпин,Бархат,Кристина,,,true,Журнал: «куски на салфетки штук 50-60» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-072,Черный алмаз (темнее 999),Бархат,Елена,,,true,Журнал: «кусок на 10 спинок Марсель» (07.12) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-073,Янтарный,Бархат,Кристина,,,true,"Журнал: «0,15» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ"
P-074,Канвас серый,Канвас,Кристина,,,true,Журнал: «куски по 1-2 м 4 шт» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
P-075,Серебряная парча,Парча,Кристина,,,true,"Журнал: «кусок 1,5 м и кусок 2-3 м» (10 июн) — РАЗМЕРЫ ПЕРЕМЕРИТЬ"
P-076,Шелк мелисса,Шелк,Кристина,,,true,Журнал: «куски на салфетки штук 30» (21 ноя) — РАЗМЕРЫ ПЕРЕМЕРИТЬ
