id,color,fabric_type,location,est_length_m,needs_remeasure,original_note
R-001,Аквамарин (777-),Бархат,Склад,9.6,true,"Лист1: «0,3» (30 авг)"
R-002,Гранатовый 312-125,Бархат,Склад,22.4,true,"Лист1: «0,7 рулона и кусок 5 на 1,26» (30 авг)"
R-003,Зеленый чай,Бархат,Склад,3.2,true,"Лист1: «0,1 и 0,2» (30 авг)"
R-004,Зеленый чай,Бархат,Склад,6.4,true,"Лист1: «0,1 и 0,2» (30 авг)"
R-005,Золотая горчица,Бархат,Склад,6.4,true,"Лист1: «0,2» (30 авг)"
R-006,Минд латте,Бархат,Склад,9.6,true,"Лист1: «0,3» (30 авг)"
R-007,Морозная мята,Бархат,Склад,19.2,true,"Лист1: «0,6» (30 авг)"
R-008,Розовая сакура,Бархат,Склад,9.6,true,"Лист1: «0,3 и кусок 7 на 1,23» (30 авг)"
R-009,Светло-зелёный,Бархат,Склад,9.6,true,"Лист1: «0,3» (30 авг)"
R-010,Серый,Бархат,Склад,6.4,true,"Лист1: «0,2» (30 авг)"
R-011,Синий Ван Гога,Бархат,Склад,28.8,true,"Лист1: «0,9» (30 авг)"
R-012,Спелая дыня,Бархат,Склад,25.6,true,"Лист1: «0,8 и кусок 6,5 на 1,28 и 3 на 1,75» (30 авг)"
R-013,Тихий океан,Бархат,Склад,16.0,true,"Лист1: «0,5» (30 авг)"
R-014,Фиалковый,Бархат,Склад,6.4,true,"Лист1: «0,2 и кусок 12,5 м на 1,28» (30 авг)"
R-015,Черный 999,Бархат,Склад,16.0,true,"Лист1: «0,5» (30 авг)"
R-016,Шоколадный 312-28,Бархат,Склад,19.2,true,"Лист1: «0,6» (21 ноя)"
R-017,Канвас Фисташка,Канвас,Склад,,true,"Лист1: «0,3» (30 авг)"
R-018,Белый ландыш (алмаз-38),Бархат,Елена,22.4,true,"Журнал: «0,7» (07.12)"
R-019,Голубой сапфир 312-111,Бархат,Людмила,22.4,true,"Журнал: «0,7 рул» (26 мая)"
R-020,Гранатовый 312-61,Бархат,Елена,22.4,true,"Журнал: «0,7» (07.12)"
R-021,Красный дракон 312-73,Бархат,Кристина,19.2,true,"Журнал: «0,6» (07.12)"
R-022,Красный дракон 312-73,Бархат,Людмила,16.0,true,"Журнал: «0,5 м» (30 мая)"
R-023,Клубничный 999-100,Бархат,Кристина,25.6,true,"Журнал: «0,8 и кусочек» (21 ноя)"
R-024,Розовая сакура 312-55,Бархат,Елена,3.2,true,"Журнал: «0,1» (07.12)"
R-025,Спелая дыня,Бархат,Людмила,25.6,true,"Журнал: «0,8 м» (30.05)"
R-026,Темная ночь,Бархат,Елена,3.2,true,"Журнал: «0,1» (07.12)"
R-027,Темная ночь,Бархат,Кристина,16.0,true,"Журнал: «0,5» (21 ноя)"
R-028,Шалфей,Бархат,Кристина,25.6,true,"Журнал: «0,8» (21 ноя)"
R-029,Канвас новый ванильный,Канвас,Кристина,,true,"Журнал: «0,4» (21 ноя)"
R-030,Пшеничный канвас,Канвас,Кристина,,true,"Журнал: «0,7» (21 ноя)"
R-031,Золотая парча,Парча,Кристина,,true,"Журнал: «0,3» (11 мая)"
R-032,Золотая парча,Парча,Людмила,,true,"Журнал: «0,2» (23 апр)"
R-033,Лен натуральный холст,Лен,Кристина,,true,"Журнал: «0,3» (21 ноя)"
R-034,Шелк тиффани (атлас деше),Шелк,Кристина,,true,"Журнал: «0,3» (21 ноя)"
R-035,Мех иск Баран Бараныч,Разное,Кристина,,true,"Журнал: «0,1 и кусок» (21 ноя)"
R-036,Кокосовый раф,Бархат,Склад,8.0,true,Лист1: «8м (но оттенок другой)» (10.11)
R-037,Красный дракон 312-72,Бархат,Склад,32.0,true,Лист1: «5 рул» (08.11)
R-038,Красный дракон 312-72,Бархат,Склад,32.0,true,Лист1: «5 рул» (08.11)
R-039,Красный дракон 312-72,Бархат,Склад,32.0,true,Лист1: «5 рул» (08.11)
R-040,Красный дракон 312-72,Бархат,Склад,32.0,true,Лист1: «5 рул» (08.11)
R-041,Красный дракон 312-72,Бархат,Склад,32.0,true,Лист1: «5 рул» (08.11)
R-042,Черный алмаз,Бархат,Склад,27.0,true,Лист1: «2 рул (27 и 21 м)» (21 ноя)
R-043,Черный алмаз,Бархат,Склад,21.0,true,Лист1: «2 рул (27 и 21 м)» (21 ноя)
R-044,Лен овсяное молоко,Лен,Склад,3.0,true,Лист1: «3» (22 июн)
R-045,Габардин голубая лагуна,Габардин,Склад,1.0,true,Лист1: «1» (30 авг)
R-046,Псевдо кокос раф,Разное,Склад,10.0,true,Лист1: «10 м» (10 ноя)
R-047,Аквамарин (777-),Бархат,Людмила,1.5,true,"Журнал: «1,5 м» (30 мая)"
R-048,Голубой сапфир 312-111,Бархат,Елена,20.0,true,Журнал: «20 м» (06.12)
R-049,Зеленый малахит (312-101),Бархат,Склад,8.0,true,Журнал: «8м» (20.04.26)
R-050,Зеленый чай 312-89,Бархат,Елена,19.0,true,Журнал: «19 м» (20.05)
R-051,Кокосовый раф,Бархат,Елена,32.0,true,Журнал: «1 рулон» (07.12)
R-052,Кокосовый раф,Бархат,Кристина,10.0,true,Журнал: «10м» (22 фев)
R-053,Кокосовый раф,Бархат,Склад,6.0,true,"Журнал: «6м (оттенок другой, темнее нашего)» (11 апр)"
R-054,Красный дракон 312-73,Бархат,Кристина,3.0,true,Журнал: «3-4м» (02 фев)
R-055,Минд латте 312-94,Бархат,Склад,5.0,true,Журнал: «5м» (11 апр)
R-056,Морозная мята алмас,Бархат,Людмила,12.0,true,Журнал: «12 м» (27.04)
R-057,Пастельно-сиреневый 312-42,Бархат,Кристина,4.2,true,"Журнал: «4,2 метра» (23 апр)"
R-058,Розовая сакура 312-55,Бархат,Кристина,4.0,true,Журнал: «4 м» (20 мая)
R-059,Рыжая лиса 312-99,Бархат,Елена,32.0,true,Журнал: «32» (19.04)
R-060,Светло-зелёный 312-40,Бархат,Елена,8.0,true,Журнал: «2 рулона примерно по 8-10 м» (20.05)
R-061,Светло-зелёный 312-40,Бархат,Елена,10.0,true,Журнал: «2 рулона примерно по 8-10 м» (20.05)
R-062,Серый 312-106,Бархат,Кристина,3.5,true,"Журнал: «3,5» (23 апр)"
R-063,Серый граффит (312-19),Бархат,Кристина,14.0,true,Журнал: «14 м» (23.04)
R-064,Синий Ван Гога,Бархат,Людмила,6.15,true,"Журнал: «6,15 м» (23.04)"
R-065,Спелая дыня,Бархат,Склад,35.0,true,"Журнал: «35м, 10м» (28 мая)"
R-066,Спелая дыня,Бархат,Склад,10.0,true,"Журнал: «35м, 10м» (28 мая)"
R-067,Темная ночь 312-126,Бархат,Людмила,64.0,true,Журнал: «64 м» (06 июн)
R-068,Тихий океан,Бархат,Склад,8.0,true,Журнал: «8м» (11 апр)
R-069,Фруктовый зефир,Бархат,Людмила,19.0,true,Журнал: «19 м» (28 мая)
R-070,Черный алмаз (темнее 999),Бархат,Склад,27.0,true,"Журнал: «27м (5018, колор 37)» (11 апр)"
R-071,Черный алмаз (темнее 999),Бархат,Склад,5018.0,true,"Журнал: «27м (5018, колор 37)» (11 апр)"
R-072,Черный алмаз (темнее 999),Бархат,Склад,37.0,true,"Журнал: «27м (5018, колор 37)» (11 апр)"
R-073,Шоколадный 312-28,Бархат,Людмила,3.0,true,Журнал: «3 метра» (26 мая)
R-074,Янтарный,Бархат,Склад,23.0,true,"Журнал: «23м, 21м» (11 апр)"
R-075,Янтарный,Бархат,Склад,21.0,true,"Журнал: «23м, 21м» (11 апр)"
R-076,Канвас Фисташка,Канвас,Людмила,11.0,true,Журнал: «11м» (25.02.26)
R-077,Вуаль белая,Разное,Кристина,24.0,true,Журнал: «24» (20 мая)
R-078,Серебряная парча,Парча,Елена,7.0,true,Журнал: «7 м» (11.12)
R-079,Лен овсяное молоко,Лен,Елена,1.2,true,"Журнал: «1,2» (07.12)"
R-080,Габардин снежный,Габардин,Кристина,2.5,true,"Журнал: «2,5» (21 ноя)"
R-081,Габардин черный,Габардин,Людмила,10.0,true,Журнал: «10 метров» (17 дек)
R-082,Габардин голубая лагуна,Габардин,Склад,28.0,true,"Журнал: «28м*1,5м» (11 апр)"
R-083,Габардин голубая лагуна,Габардин,Склад,1.5,true,"Журнал: «28м*1,5м» (11 апр)"
R-084,Псевдо кокос раф,Разное,Склад,10.0,true,Журнал: «10 м» (11 апр)
