name,fabric_per_unit_m,note
Бант,,расход ткани заполнить
Накидка на пуф,,расход ткани заполнить
Оригинальное изделие,,расход ткани заполнить
Подиум,,расход ткани заполнить
Подушки,,расход ткани заполнить
Пошив заказ,,расход ткани заполнить
Пуф Боу Макси,,расход ткани заполнить
Пуф Круг 40см,,расход ткани заполнить
Пуф Круг 60см,,расход ткани заполнить
Пуф Круг 80см,,расход ткани заполнить
Пуф боу,,расход ткани заполнить
Пуф квадро,,расход ткани заполнить
Пуф круг,,расход ткани заполнить
Салфетки,,расход ткани заполнить
Сидушка Кроссбэк,,расход ткани заполнить
Скатерти круглые,,расход ткани заполнить
Скатерти прямоугольные,,расход ткани заполнить
Технический чехол,,расход ткани заполнить
Тумбы,,расход ткани заполнить
Чехлы Вашингтон,,расход ткани заполнить
Чехлы Марсель,,расход ткани заполнить
Чехлы Тиффани,,расход ткани заполнить
Эксперимент,,расход ткани заполнить
Эксперименты,,расход ткани заполнить
Юбка на пуф,,расход ткани заполнить
