fabric_type,product,price_rub,includes_fabric,note
Бархат,Скатерть круглая 330 см,4300,да,
Бархат,Скатерть прямоуг 300x400 см,4400,да,
Бархат,Салфетка 45x45 (обычный край),350,да,
Бархат,Скатерть круглая 360 см,4800,да,
Бархат,Чехол на стул,1400,нет,только пошив
Бархат,Чехол на пуф 40,800,нет,только пошив
Бархат,Чехол на пуф 40,1100,да,
Канвас китай,Скатерть круглая 330 см,4100,да,
Канвас китай,Скатерть прямоуг 300x400 см,4200,да,
Канвас китай,Салфетка 45x45,340,да,
Канвас китай,Скатерть круглая 360 см,4600,да,
Габардин,Скатерть круглая 330 см,4100,да,
Габардин,Скатерть прямоуг 300x400 см,4200,да,
Габардин,Салфетка 45x45,340,да,
Габардин,Скатерть круглая 360 см,4600,да,
Шелк,Скатерть круглая 330 см,4100,да,
Шелк,Скатерть прямоуг 300x400 см,4200,да,
Шелк,Салфетка 45x45,350,да,
Шелк,Скатерть круглая 360 см,4600,да,
Парча,Скатерть круглая 330 см,5200,да,
Парча,Скатерть прямоуг 300x400 см,5700,да,
Парча,Чехол на пуф 40,750,нет,только пошив
Парча,Чехол на пуф 40,1250,да,
Бархат,Цветок 20 см,1500,да,цена при наличии ткани
Бархат,Цветок 30 см,2000,да,цена при наличии ткани
Бархат,Цветок 40 см,2500,да,цена при наличии ткани
Бархат,Цветок 50 см,3100,да,цена при наличии ткани
Бархат,Цветок 60 см,3800,да,цена при наличии ткани
,Бант 90 см (хвост 200 см),6000,,размер 90
,Бант 100 см (хвост 200 см),6500,,размер 100
,Бант 110 см (хвост 200 см),7000,,размер 110
