Дата,Цвет,Количество,Вид изделия,Заказ,Дата заказа AR,Статус,Тип,Швея,Поставщик
"December 1, 2025",,ИНВЕНТАРИЗАЦИЯ ткани!!!!,,Срочный заказ,,Изготовление,Пошив,Елена,
"December 15, 2025",Черный габардин,Салфетка 50шт,Салфетки,Срочный заказ,"December 15, 2025",Изготовление,Пошив,Кристина,
"December 23, 2025",915-21 Малиновый бархат,Починка пуфики 2 шт,Пуф круг,,,Изготовление,Пошив,Кристина,
"January 15, 2026",000-Габардин снежный,Салфетка 70 шт,Салфетки,,,Изготовление,Пошив,Кристина,
"January 15, 2026",000-Габардин снежный,Скатерть круг 330 см  20 шт,Скатерти круглые,,,Изготовление,Пошив,Кристина,
"January 15, 2026",312-106 Бледно-розовый,пуф арка макс 5шт,Пуф боу,Нет,,Изготовление,Пошив,Елена,
"January 15, 2026",312-111 Голубой сапфир бархат,Пуф арка мини 5 шт и макс 5 шт,Пуф боу,Нет,,Изготовление,Пошив,Елена,
"January 15, 2026",Серебро Парча,Скатерть прямоуг 410 на 300. 1-2шт,Скатерти прямоугольные,,,Изготовление,Пошив,Елена,
"January 15, 2026",312-96 Сиреневая дымка бархат,Сидушка Тиффани. 40шт,Чехлы Тиффани,Нет,,Изготовление,Пошив,Елена,
"January 15, 2026",312-96 Сиреневая дымка бархат,Пуф арка макс 3 шт,Пуф боу,Нет,,Шьется,Пошив,Елена,
"January 15, 2026",,"Техн чехол янтар гост  (сум-но надо 160, сделано пока 69 шт)",Технический чехол,,,Шьется,Пошив,Елена,
"February 9, 2026",Лен овсяное молоко,Прямоуг скатерть 2 шт 410 на 300 см,Скатерти прямоугольные,Срочный заказ,"February 10, 2026",Изготовление,Пошив,Елена,
"February 12, 2026",новый,чехол оверсайз со складками на квадро,Пуф квадро,,,Изготовление,Пошив,Людмила,
"February 12, 2026",312-101 Зеленый малахитец,"ремонт сидушки марсель 120 шт(уже меньше по-моему), ДОП РЕЗИНКА",Чехлы Марсель,,,Изготовление,Пошив,Елена,
"February 19, 2026",Габардин,Техник Чехол на стул кьявари 5 шт,Технический чехол,,,Изготовление,Пошив,Елена,
"February 26, 2026",5018-33 Синий Ван Гога бархат,Ремонт Спинка около 10шт,Чехлы Марсель,Есть заказ,"February 26, 2026",Изготовление,Пошив,Елена,
"February 26, 2026",312-125 Гранатовый бархат,"Ремонт Спинка марсель  все что есть,(около 50) ПЕРЕШИВ МОЛНИИ",Чехлы Марсель,Срочный заказ,"February 28, 2026",Изготовление,Пошив,Елена,
"February 27, 2026",5018almas- Черный бархат,Спинка марсель 10-15шт(сколько выйдет),Чехлы Марсель,Есть заказ,"March 5, 2026",Изготовление,Пошив,Елена,
"June 11, 2026",312-111 Голубой сапфир бархат,"Марсель - 80 шт ",Чехлы Марсель,Есть заказ,"June 13, 2026",Изготовление,Пошив,Елена,
"June 12, 2026",312-89 Зеленый чай бархат,Марсель - 90 шт,Чехлы Марсель,Есть заказ,"June 14, 2026",Изготовление,Пошив,Елена,
"June 14, 2026",999-98 Темная ночь бархат,Марсель 70 шт,Чехлы Марсель,Есть заказ,"June 23, 2026",Изготовление,Пошив,Людмила,
"June 14, 2026",999-98 Темная ночь бархат,Пуфик Квадро 65 шт,Пуф квадро,Есть заказ,"June 23, 2026",Изготовление,Пошив,Людмила,
"June 16, 2026",312-89 Зеленый чай бархат,Чехол на подиум,Подиум,Есть заказ,"June 18, 2026",Изготовление,Пошив,Людмила,
"June 24, 2026",Полоска желтая,Пуфик круг 40 см  6шт,Пуф круг,Есть заказ,"June 26, 2026",Изготовление,Пошив,Людмила,
"June 24, 2026",312-8 Жемчужный бархат,Наволочка на подушку 16 шт,Подушки,Есть заказ,"June 26, 2026",Изготовление,Пошив,Людмила,
"June 24, 2026",999-101 Спелая дыня,Наволочка на подушку 6 шт,Подушки,Есть заказ,"June 26, 2026",Изготовление,Пошив,Людмила,
"June 29, 2026",новый,Подушки-сидушки из сатина с ямочками. 10 шт серых и 10 оранж,Оригинальное изделие,Есть заказ,"June 30, 2026",Изготовление,Пошив,Людмила,
"June 30, 2026",312-111 Голубой сапфир бархат,Пуфик квадро 80шт,Пуф квадро,Есть заказ,"July 7, 2026",Изготовление,Пошив,Людмила,
"June 30, 2026",999-46 Зеленый малахит,Тиффани сидушки  55 шт,Чехлы Тиффани,Есть заказ,"July 17, 2026",Изготовление,Пошив,Людмила,
