Количество,Вид изделия,Дата,Дата заказа AR,Заказ,Поставщик,Статус,Тип,Цвет,Швея
Пуф мех букле 40 см  23 шт,Пуф Круг 40см,"May 8, 2025",,Срочный заказ,,Отшито,Пошив,Мех букле белый,Кристина
"Сиреневый шелк 20 кругл , 12 прямоуг , 200 салфеток","Салфетки, Скатерти круглые, Скатерти прямоугольные","May 8, 2025",,,,Отшито,Пошив,333-000 Сиреневый шелк,Кристина
"Красн дракон скат круг 330см (на весь рулон, из остатков салф)",Скатерти круглые,"May 8, 2025",,,,Отшито,Пошив,312-73 Красный дракон бархат,Кристина
Диор ткань зеленая,,"May 9, 2025",,,,Not started,Покупка ткани,Диор зеленая,
"Пуф круг аквамарин 80-5шт, 60-5шт, 40-30 шт",Пуф круг,"May 14, 2025",,Срочный заказ,,Отшито,Пошив,777-103 Аквамарин бархат,Людмила
Технич чехол на янтарный стул еще  80шт (суммарно надо 160),Технический чехол,"May 21, 2025",,,,Not started,Пошив,,Елена
Вашингтон 67 шт,Чехлы Вашингтон,"July 30, 2025",,,,Отшито,Пошив,312-73 Красный дракон бархат,Елена
Вашингтон 70 шт,Чехлы Вашингтон,"May 15, 2025","May 16, 2025",Срочный заказ,,Отшито,Пошив,312-95 Кокосовый раф бархат,Елена
Скатерть круг 330 см 17 шт (дошить все рулоны),Скатерти круглые,"May 15, 2025","May 15, 2025",Срочный заказ,,Отшито,Пошив,С3 Лен Натур холст (дом текст),Кристина
"Пуф круг 80-10 шт и 60-12 шт ","Пуф квадро, Пуф круг","May 23, 2025","May 24, 2025",Срочный заказ,,Отшито,Пошив,312-89 Зеленый чай бархат,Кристина
"пуф круг 80-15шт,60-15 шт, 40- 10шт",Пуф круг,"May 30, 2025",,,,Отшито,Пошив,Серебро Парча,Людмила
"Пуф круг жемчужный 80- 15шт, 60-15шт, 40 - 25 шт",Пуф круг,"May 16, 2025 → May 16, 2025",,,,Отшито,Пошив,312-8 Жемчужный бархат,Людмила
Пуф арка 3+3 (кроить сразу на большее количество 10+5 лучше всего),Пуф боу,"May 30, 2025","June 4, 2025",Срочный заказ,,Отшито,Пошив,312-111 Голубой сапфир бархат,Елена
"пуф круг 80-4 шт ",Пуф круг,"June 26, 2025",,Нет,,Отшито,Пошив,312-40 Светло зеленый бархат,Кристина
"Салфетки 60 шт углом, скат круг 335 см 3-4шт(дошить весь рулон)","Салфетки, Скатерти круглые","July 5, 2025","August 16, 2025",Есть заказ,,Отшито,Пошив,А-28 Айвори шелк,Кристина
"Скатерть круг 330 см 11 шт ( в заказ 11 ииюня  идут 3 шт, остальные идут 7 июля)",Скатерти круглые,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,Диор зеленая,Кристина
"Скатерть прямоуг  скат 410 см на 280 см, 10 шт(скорее всего больше не получится)(надставка с двух  сторон по 20 см)",Скатерти прямоугольные,"June 26, 2025","June 28, 2025",Есть заказ,,Отшито,Пошив,Диор зеленая,Кристина
Салфетки с красивым углом 120 шт (в ширину 4 шт как шелк салфетки),Скатерти круглые,"June 5, 2025","August 8, 2025",Заказ несрочный,,Отшито,Пошив,Диор зеленая,Кристина
Лавлейс 70 комплектов,,"May 26, 2025","August 31, 2025",Есть заказ,Криссталекс,Не заказано,Покупка посуды,,
Чехлы тиффани Темная ночь 50шт,Чехлы Тиффани,"May 27, 2025",,Срочный заказ,,Отшито,Пошив,999-98 Темная ночь бархат,Людмила
Госты зеленые,,"May 9, 2025",,,,Куплено,Покупка мебели,,
"Салфетки 50-60 шт(в заказ 35, но дошить бывесь кусок)",Салфетки,"May 28, 2025","May 29, 2025",Срочный заказ,,Отшито,Пошив,999-98 Темная ночь бархат,Кристина
Тиффани рыжая лиса 50шт (лучше 70-80 шт),Чехлы Тиффани,"May 30, 2025",,Срочный заказ,,Отшито,Пошив,312-99 Рыжая лиса бархат,Людмила
Пуф круг рыжая лиса 80-5шт и 60-5шт,Пуф круг,"May 30, 2025",,,,Отшито,Пошив,312-99 Рыжая лиса бархат,Людмила
"пуф круг  60-2 шт, 40-  40 шт",Пуф круг,"May 28, 2025",,,,Отшито,Пошив,312-81 Фиолетовый люпин бархат,Кристина
"Салфетки 120шт ",Салфетки,"May 28, 2025","June 20, 2025",Есть заказ,,Отшито,Пошив,312-81 Фиолетовый люпин бархат,Кристина
Скатерть круг 330 см 12шт ( в заказ идут все),Скатерти круглые,"June 10, 2025","June 11, 2025",Срочный заказ,,Отшито,Пошив,312-8 Жемчужный бархат,Кристина
