,,,,,,,,,,,
,Передано ,,,,,,,,,,
,Елена,,Кристина,,Людмила,,Склад,,я,,
Ткань цвет,длина и рулоны,дата,длина и рулоны,дата,длина и рулоны,дата,рулоны,дата,длина и рулоны,,
Бархат:,,,,,,,,,,,
Аквамарин (777-),,,,,1.5 м,30мая,,,,,
Белый ландыш (алмаз-38),"0,7",07.12,,,,,,,,,
бледно-розовый(312-106),,,,,,,"1,3*1,1",11апр.,,,
Голубой сапфир 312-111,20 м,06.12, куски на салфетки штук 50,25 мая,"0,7 рул",26 мая,,,,,
Гранатовый 312-125,,,Кусок 2-3 м и кусок 4-5 м,20 мая,,,"кусок 3м*43 см;кусок 1,8*3 и кусок 1.3*2;кусок от скатерти 2*1",11апр.,,,
Гранатовый 312-61ый,"0,7",07.12,,,,,,,,,
жемчужный (312-8),кусочек непонятный,07.12,куски 3.8м и 7м,21 нояб.,"кусок 6*3 , 9*3м и 1*3 м (+ список скат прямоуг+) ",19.03,"кусок 6*3м, ",26мая,,,
зеленый малахит (999-46),кусок 3 м,07.12,,,,,,,,,16.03
зеленый малахит (312-101),,,,,,,8м,20.04.26,,,
Зеленый чай 312-89,19 м,20.05,4 м и куски на салфетки щтук 40-50,21 нояб.,,,,,,,
золотая горчица,,,,,,,3*5м,11апр.,,,16.03
Кокосовый раф,1,7 .12,10м,22 февр.,,,"6м (но оттенок другой, темнее нашего)",11апр.,,,
Кокосовый Раф 312-95,,,,,,,кусок 7м,11 апр.,,,
красный дракон 312-73,кусок 5 м,7 дек.,"0,6",7 дек.,"0,5 м ",30мая,,,,,
Клубничный 999-100,,,0.8 и кусочек,21 нояб.,,,,,,,
Ландыш (другой оттенок) алмас,,,,,,,"кусок 2,5*3",11.04.26,,,
Красный 333-95,,,,,,,,,,,
красный дракон 312-73,,,3-4м,2 февр.,,,,,,,
Малиновый,,,кусочек на пару чехлов,21 нояб.,,,"1,5*1",11апр.,,,
Минд латте 312-94,,,,,,,5м,11 апреля,,,
Морозная мята алмас,,,,,12 м,27.04,,,,,
Пастельно-сиреневый 312-42,,,"4,2 метра",23 апреля,,,,,,,
Розовая сакура 312-55,"0,1",07.12,4 м,20 мая,"Куски 1*1.2 м и 1*0,5 м",30 мая,"куски 9*3м; 6,5*3м",11апр.,,,
Рыжая лиса 312-99,32,19.04,,,"кусок 2* 1,5 примерно",23 апреля,кусок 3*3,11апр.,,,
светло-зелёный 312-40,2 рулона примерно по 8-10 м,20.05,кусок 3 м,21 нояб.,,,"6*3м, 8,5*3м",3июн.,,,
,,,,,,,,,,,
серый 312-106,,,"3,5",23 апреля,,,"кусок 3*1,2м",11апр.,,,
Сиреневая дымка,,,,,,,"кусок 10,5*3м",21мая,,,
Серый граффит (312-19) ,,,14 м,23.04,,,,,,,
Серо-голубой (не наш оттенок),,,,,,,"кусок 3,5*3м",21мая,,,
пепельно-серый,,,,,,,"6*2,5",11апр.,,,
синий Ван Гога ,,,кусок метра 3 и кусочки на 6 салфеток ,21 ноября,"6,15 м",23.04,"куски 1,3*2; 1,4*3; 1,7*2; 1*3;2*1,3",11апр.,,,
синий 312-12,,,,,,,7*3,6июн.,,,
сиреневая дымка 312-96,кусочек микро,06.03,куски на салфетки на штук 30-40,21 ноября,,,"кусочек на верхушки боу 2 шт 1,5*1; кусок 2*3м",11апр.,,,
Спелая дыня,микрокусок на 1-2 боу,11.12,,,"0,8 м",30.05,"35м,10м ",28мая,,,
Темная ночь,"0,1",07.12,"0,5",21 ноября,,,,,,,
Темная ночь 312-126,,,,,64 м,6 июня,,,,,
тихий океан,,,,,,,8м,11апр.,,,16.03
Фруктовый зефир,,,кусочки на 15 салфеток,19 апреля, 19 м,28 мая,,,,,
Фиалковый,,,куски на салфетки на штук 30-50,21 ноября," кусок 1,3*8,5",30мая,,,,,
Фиолетовый люпин,,,куски на салфетки на штук 50-60,21 ноября,,,,,,,
Черный 999 ,,,,,,,"кусок 3,5м, кусок 3*2,8",11апр.,,,
Черный алмаз (темнее 999) ,Кусок на 10 спинок Марсель ,07.12,"кусок 3*13,2м;кусок 3*4,8",15 апреля,,,"27м(5018,колор37)",11апр.,,,
шалфей,,,0.8,21 ноября,,,,,,,
Шоколадный 312-28,,,,,3 метра,26мая,"кусок 1,4*0,7м",5июн.,,,
Янтарный ,,,"0,15",21 ноября,,,"23м, 21м",11апр.,,,
списанные скатерти кокос и жемчуг,,,3-5 шт,21 ноября,,,,,,,
,,,,,,,,,,,
Канвас :,,,,,,,,,,,
канвас новый ванильный,,,0.4,21 ноября,,,,,,,
пшеничный канвас,,,"0,7",21 ноября,,,,,,,
голубое облако,,,,,,,"кусок 2,5*1,5",11.04.26,,,
эвкалипт,,,,,,,кусок 2*3,11.04.26,,,
канвас серый,,,куски по 1-2 м 4 шт,21 ноября,,,,,,,
Канвас Фисташка,,,,,11м,25.02.26,,,,,16.03
канвас ночной сад,,,,,,,"кусок 1,4*1,4",11.04.26,,,
канвас лошадки,,,,,,,"кусок 1,5*1,8",11.04.26,,,
,,,,,,,,,,,
Другие ткани:,,,,,,,,,,,
вуаль белая,,,24,20 мая,,,,,,,
серебряная парча,7 м,11.12,"Кусок 1,5 м и кусок 2-3 м",10 июня,,,,,,,
золотая парча,,,"0,3",11 мая,"0,2",23 апреля,,,,,
лен овсянное молоко,"1,2",07.12,,,,,"кусок 4*1,7",11 апреля,,,
Лен натуральный холст,,,"0,3",21 ноября,,,,,,,
Габардин снежный,,,"2,5",21 ноября,,,,,,,
габардин пломбир,,,,,,,,,,,
габардин черный,,,,,10 метров,17 декабря,,,,,
габардин графит,,,,,,,"кусок 9*1, 5",11.04.26,,,
Габардин голубая лагуна,,,,,,,"28м*1, 5м",11апр.,,,
Диор зеленый,,,,,,,,,,,
Диор синий,,,Куски на кругляши на мини пуфы,,,,,,,,
Шелк айвори,,,,,,,,,,,
Шелк мелисса,,,куски на салфетки штук 30,21 ноября,,,,,,,
шелк белая глазурь,,,куски на салфетки штук 30,21 ноября,,,,,,,
Шелк зеленая пастель,,,куски на салфетки штук 30,21 ноября,,,,,,,
Шелк тиффани (атлас деше),,,"0,3",21 ноября,,,,,,,
Шелк коричневый,,,,,,,"кусок 2*2,8",25.04.26,,,
Мех иск Баран Бараныч,,,"0,1 и кусок",21 ноября,,,,,,,16.03
,,,,,,,,,1 рулон ноябрь,,16.03
Псевдо кокос раф,,,,,,,10 м,11 апр.,,,
Ткань с принтом для Марселя,,,,,,,"2,6*1,6",11.04,,,
Юми серебро,,,,,,,"1,5*14,5м",11.04.26,,,
,,,,,,,,,,,
Мулетон,,,,,,,"куски 8*1; 2,1*1; 0,3*0,3; 0,5*0,5",11.04.26,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Узнать про обрезки остатки сиреневой дымки у елены(для пошива салфеток),,,,,,,,,,,
узнать у кристины про обрезки белого ландыша  и парчи серебро,,,,,,,,,,,
