,Склад,,Елена,,Людмила,,кристина,
Наименование,Кол-во,Дата,Кол-во,Дата,Кол-во,дата,Кол-во ,дата
Молнии:,,,,,,,,
Рыжая лиса (подходит и на янтар),,,200м,23 апр.,,,,
Зелёный хаки,9шт,06.05.26,,,,,,
Люпин ,35шт,06.05.26,,,,,,
Бордо короткая,32шт,06.05.26,,,,,,
Жемчужная ,"4,5м",06.05.26,,,,,,
Розовая сакура,9шт,06.05.26,,,,,,
Спелая дыня s-130,,,,,90 шт,06.05,,
Шоколадные ,,,,,51 шт,23 апр.,,
Синие(для ван гога),,,,,24 шт,23 апр.,,
Гранатовый рулонна s-520 (эконом плохая),,,,,200 м,11.05,,
Голубой сапфир рулонная s-226,,,200м ,6 мая,,,,
Кокосовый раф рулонная s-571 ZIP,,,200 м,06.05.26,,,,
Зелёный чай рулонная s-888,,,181м,06.05.26,,,,
Темная ночь s-920 ZIP,,,,,90шт,26 мая,,
,,,,,,,,
,,,,,,,,
Потайные молнии на подушку 35 см,,,,,,,,
шоколад s-072 35 см,,,,,5,26 мая,,
зеленый чай s-888 35 см,,,,,95,26 мая,,
красный s-171 35 см,,,,,88,29 мая,,
гранатовый s-520 35 см,,,,,0,,,
кокосовый раф s-031 35 см,,,,,10,26 мая,,
жемчужнай s-571 35 см,,,,,10,26 мая,,
рыжая лиса s-102 35 см,,,,,10,26 мая,,
розовая сакура  s-214 35 см,,,,,0,,,
бледно-розовый s-221 35 см,,,,,0,,,
спелая дыня  s-001 35 см,,,,,10,26 мая, ,
спелая дыня s-506 35 см,,,,,0,30 мая,,
фиалковый и люпин s-019 35 см,,,,,0,30 мая,,
темная ночь s-058 35 см,,,,,10,26 мая,,
Красная садовод 80(?) см,79шт,06.05.26,,,,,,
Жемчужная садовод 70(?) см,76шт,06.05.26,,,,,,
Светло-зеленая садовод 60(?) см,100шт,06.05.26,,,,,,
,,,,,,,,
Бегунки :,,,,,,,,
Бегунок к жемчужным,18шт,06.05.26,,,,,,
Бегунки к рыжим,,,100 шт,23 апр.,,,,
Голубой сапфир ,,,100шт,6 мая,,,,
Кокосовый раф ,,,200 шт,6 мая,,,,
Зелёный чай ,,,100 шт,6 мая,,,,
Гранатовый,,,,,170,6 мая,,
,,,,,,,,
Резинки:,,,,,,,,
белая 8мм,1 моток,06.05.26,50 м,6 мая,150м ,11 мая,,
чёрная 8мм,1 моток+1/4 мотка,06.05.26,,,,,,
чёрная узкая (для фуфика) ,1 моток,06.05.26,,,,,,
,,,,,,,,
Липучки:,,,,,,,,
"чёрная мягк 2,5см",25м,06.05.26,,,,,,
чёрная мягкая 5см,~40м,06.05.26,,,,,,
чёрная жесткая 3см,20м,06.05.26,,,,,,
белая жесткая 5см,~50м,06.05.26,,,,,,
"белая жесткая 2,5см",~10м,06.05.26,,,,,,
,,,,,,,,
Бахрома:,,,,,,,,
гранат,5м,06.05.26,,,,,,
,,,,,,,,
Лента шторная 4см ,1 целый рулон (10-12м) ,20.05.26,,,,,,
Лента шторная 4см ,0.8 рулона (~8м) ,20.05.26,,,,,,
"Нитки швейные 40/2, цвет бордовый тёмный (S-1123) , Боб 5000м",2шт,20.05.26,,,,,,
