,,,,,,,,
Вид ткани ,Кругл скат 330 см (с тканью),Прямоуг скат 300 на 400 см (с тканью),Салф 45 на 45 (обычн край) (с тканью),скат Круг 360 (с тканью),Чехол на стул без ткани (только пошив),чехол пуф 40  без ткани (только пошив),Чехол на пуф 40 с тканью ,
Бархат ,4300,4400,350,4800,1400,800,1100,"Для миним заказа есть неск примерных вариантов: 1. От 6 скатертей круг/прямоуг. 2. От 120 салф и 3 скатертей 3. От 200 салф .3. от 50пуфов  Если нужно меньше количество, то тогда надор пересчитывать цену в бОльшую сторону за 1изделие."
Канвас китай,4100,4200,340,4600,,,,"Для миним заказа есть неск примерных вариантов: 1. От 5 скатертей круг/прямоуг. 2. От 120 салф и 3 скатертей 3. От 200 салф .  Если нужно меньше количество, то тогда надор пересчитывать цену в бОльшую сторону за 1изделие."
Габардин ,4100,4200,340,4600,,,,
Шелк,4100,4200,350,4600,,,,
Парча,5200,5700,,,,750,1250,"Для миним заказа есть неск примерных вариантов: 1. От 3 скатертей круг/прямоуг.   Если нужно меньше количество, то тогда надор пересчитывать цену в бОльшую сторону за 1изделие."
"За срочность прибавляем 15-20%, если суперпуперсрочность-возможно еще больше",,,,,,,,
,,,,,,,,
Подушки и тп,,,,,,,,
,20 см,30 см,40 см,50 см,60 см,,,
цветок из бархата,1500,2000,2500,3100,3800,указаны цены если ткань у нас есть в наличии. но цена может меняться. взависимости от количества цветков и налиичия ткани (,,
,90 см,100 см,110 см,,,,,
бант 90 см(хвост 200см),6000,6500,7000,,,,,
