Цвет текстиля,Номер,Где используется,Место покупки,Комментарии,Закупки,Связанные выдачи,Выдано швеям,Швеи связанные,Общий метраж купленный,Formula
Белый ландыш,Almas 5018-38,"Пуфы Фуфик, Салфетки, Скатерти, Чехлы Вашингтон, Чехлы Тиффани","Алмас Дима, Реутовская мануфактура",,,,0,,0,0
Бледно-розовый,312-106,,"Реутовская мануфактура, Шер",,,,0,,0,0
"Голубой сапфир ","Debute MJ802-75/300PB , но берём и 312-111",,Дом текстиля,,,,0,,0,0
Гранатовый  (вашингтон и пуфы миди макси квадро),312-125,"Пуфы Боу, Пуфы Квадро, Пуфы Фуфик Макси, Пуфы Фуфик Миди, Чехлы Вашингтон, Чехлы Тиффани","Реутовская мануфактура, Шер",,,,0,,0,0
Гранатовый скатерти (салфетки и мини фуфы),312-61,"Пуфы Фуфик, Салфетки, Скатерти","Реутовская мануфактура, Шер",,,,0,,0,0
Дымчатый,Toscana HLR 310-80/300P,,Дом текстиля,,,,0,,0,0
Жемчужный,312-8,,"Реутовская мануфактура, Шер",,,,0,,0,0
Зеленый малахит,999-46,"Пуфы Боу, Пуфы Фуфик, Салфетки, Скатерти, Чехлы Вашингтон","Алишер, Реутовская мануфактура",,,,0,,0,0
Зеленый чай,312-89,,"Реутовская мануфактура, Садовод Рамазан, Шер",,,,0,,0,0
Золотая горчица,999-086,,"Алишер, Реутовская мануфактура",,,,0,,0,0
"Капучино ","312-4(супер стар раскладка , сейчас такого цвета нет)",,ВсетканиТут,,,,0,,0,0
Кокосовый раф,312-95,,"Реутовская мануфактура, Шер",,,,0,,0,0
Клубничный (алый с вишенкой),999-100,"Пуфы Боу, Пуфы Квадро, Пуфы Фуфик, Пуфы Фуфик Макси, Пуфы Фуфик Миди",Садовод Абдулазиз,,,,0,,0,0
Красный дракон (алый),312-73,"Салфетки, Скатерти, Чехлы Вашингтон, Чехлы Тиффани","Реутовская мануфактура, Шер",,,,0,,0,0
"Латте ",А5018-4 (для салфетоквозможно взяла 312-94),,ВсетканиТут,,,,0,,0,0
"Минд латте ",312-94,,Реутовская мануфактура,,,,0,,0,0
Пастельно-сиреневый бета,9102-А25 (на салфетки брала 312-42),,ВсетканиТут,,,,0,,0,0
"Розовая сакура ",312-55,,"Реутовская мануфактура, Шер",,,,0,,0,0
Рыжая лиса,312-99,,"Реутовская мануфактура, Шер",,,,0,,0,0
