Цвет текстиля,Formula,Выдано швеям,Выдачи,Где используется,Закупки,Комментарии,Место покупки,Номер,Общий метраж купленный,Поставки,Связанные выдачи,Тип ткани,Швеи связанные
"Капучино ",0,0,,,,,ВсетканиТут,"312-4(супер стар раскладка , сейчас такого цвета нет)",0,,,Бархат Бета,
"Минд латте ",0,0,,,,,Реутовская мануфактура,312-94,0,,,Бархат Бета,
"Латте ",0,0,,,,,ВсетканиТут,А5018-4 (для салфетоквозможно взяла 312-94),0,,,Бархат Бета,
Пастельно-сиреневый бета,0,0,,,,,ВсетканиТут,9102-А25 (на салфетки брала 312-42),0,,,Бархат Бета,
"Серый ",0,0,,,,,ВсетканиТут,312-9 (на салфетки брала 312-49),0,,,Бархат Бета,
Спелая дыня,112,0,"Отдала на пошив 3 салфеток (%D0%96%D1%83%D1%80%D0%BD%D0%B0%D0%BB%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%92%D1%8B%D0%B4%D0%B0%D1%87%D0%B8/%D0%9E%D1%82%D0%B4%D0%B0%D0%BB%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D0%BE%D1%88%D0%B8%D0%B2%203%20%D1%81%D0%B0%D0%BB%D1%84%D0%B5%D1%82%D0%BE%D0%BA%201ede4f8ffb4180e3aa52db9350d9d639.md), Отдала на пошив 2 скатертей (%D0%96%D1%83%D1%80%D0%BD%D0%B0%D0%BB%20%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%92%D1%8B%D0%B4%D0%B0%D1%87%D0%B8/%D0%9E%D1%82%D0%B4%D0%B0%D0%BB%D0%B0%20%D0%BD%D0%B0%20%D0%BF%D0%BE%D1%88%D0%B8%D0%B2%202%20%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D1%82%D0%B5%D0%B9%201ede4f8ffb41801ba074fad63fd34273.md)",,Купила 3 рулона спелая дыня (%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D0%BA%D0%B8%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%9F%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8/%D0%9A%D1%83%D0%BF%D0%B8%D0%BB%D0%B0%203%20%D1%80%D1%83%D0%BB%D0%BE%D0%BD%D0%B0%20%D1%81%D0%BF%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%B4%D1%8B%D0%BD%D1%8F%201ede4f8ffb41804c89b6e6fb5cca5bb6.md),,"Алишер, Реутовская мануфактура",999-101,112,Купила 3 рулона спелая дыня (%D0%97%D0%B0%D0%BA%D1%83%D0%BF%D0%BA%D0%B8%20%D1%82%D0%B5%D0%BA%D1%81%D1%82%D0%B8%D0%BB%D1%8F/%D0%9F%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8/%D0%9A%D1%83%D0%BF%D0%B8%D0%BB%D0%B0%203%20%D1%80%D1%83%D0%BB%D0%BE%D0%BD%D0%B0%20%D1%81%D0%BF%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%B4%D1%8B%D0%BD%D1%8F%201ede4f8ffb41804c89b6e6fb5cca5bb6.md),,Бархат Бета,
Кокосовый раф,0,0,,,,,"Реутовская мануфактура, Шер",312-95,0,,,Бархат Бета,
Рыжая лиса,0,0,,,,,"Реутовская мануфактура, Шер",312-99,0,,,Бархат Бета,
Сиреневая дымка,0,0,,,,,"Реутовская мануфактура, Шер",312-96,0,,,Бархат Бета,
Фиалковый,0,0,,,,,"Реутовская мануфактура, Шер",312-57,0,,,Бархат Бета,
